date dh dh7 cdbs
2009-11-11 57.47 14.85 25.33
2009-11-12 57.46 14.86 25.33
2009-11-13 57.43 14.91 25.31
2009-11-14 57.4 14.94 25.31
2009-11-15 57.39 14.94 25.32
2009-11-16 57.37 14.98 25.3
2009-11-17 57.32 15.04 25.29
2009-11-18 57.26 15.12 25.27
2009-11-19 57.22 15.14 25.29
2009-11-20 57.11 15.23 25.32
2009-11-21 57.11 15.26 25.29
2009-11-22 57.01 15.35 25.31
2009-11-23 57.01 15.35 25.31
2009-11-24 56.95 15.42 25.3
2009-11-25 56.94 15.44 25.29
2009-11-26 56.91 15.44 25.32
2009-11-27 56.88 15.48 25.32
2009-11-28 56.89 15.48 25.31
2009-11-29 56.88 15.5 25.3
2009-11-30 56.81 15.58 25.29
2009-12-01 56.77 15.61 25.31
2009-12-02 56.73 15.65 25.3
2009-12-03 56.69 15.67 25.32
2009-12-04 56.64 15.73 25.31
2009-12-05 56.64 15.76 25.28
2009-12-06 56.58 15.84 25.26
2009-12-07 56.56 15.86 25.26
2009-12-08 57.04 15.67 24.95
2009-12-09 56.98 15.74 24.94
2009-12-10 56.98 15.75 24.93
2009-12-11 56.94 15.81 24.91
2009-12-12 56.92 15.83 24.91
2009-12-13 56.84 15.94 24.89
2009-12-14 56.77 16.03 24.87
2009-12-15 56.69 16.09 24.89
2009-12-16 56.7 16.08 24.89
2009-12-17 56.7 16.09 24.88
2009-12-18 56.66 16.13 24.88
2009-12-19 56.63 16.18 24.86
2009-12-20 56.61 16.22 24.84
2009-12-21 56.57 16.27 24.83
2009-12-22 56.41 16.38 24.87
2009-12-23 56.37 16.41 24.89
2009-12-24 56.32 16.47 24.88
2009-12-25 56.25 16.54 24.87
2009-12-26 56.24 16.55 24.87
2009-12-27 56.22 16.58 24.86
2009-12-28 55.9 16.73 25.02
2009-12-29 55.9 16.73 25.02
2009-12-30 55.9 16.73 25.02
2009-12-31 55.81 16.81 25.03
2010-01-01 55.76 16.86 25.03
2010-01-02 55.74 16.87 25.04
2010-01-03 55.72 16.91 25.02
2010-01-04 55.58 16.98 25.09
2010-01-05 55.48 17.09 25.09
2010-01-06 55.41 17.2 25.06
2010-01-07 55.37 17.23 25.07
2010-01-08 55.13 17.48 25.06
2010-01-09 54.98 17.65 25.04
2010-01-10 54.94 17.69 25.04
2010-01-11 54.91 17.75 25.01
2010-01-12 54.9 17.76 25.01
2010-01-13 54.91 17.78 24.98
2010-01-14 54.91 17.79 24.97
2010-01-15 54.91 17.79 24.97
2010-01-16 54.86 17.84 24.97
2010-01-17 54.79 17.89 24.99
2010-01-18 54.78 17.91 24.98
2010-01-19 54.73 17.95 24.99
2010-01-20 54.73 17.95 24.99
2010-01-21 54.72 17.96 24.99
2010-01-22 54.6 18.11 24.97
2010-01-23 54.57 18.14 24.97
2010-01-24 54.58 18.15 24.95
2010-01-25 54.26 18.33 25.08
2010-01-26 54.23 18.37 25.07
2010-01-27 54.22 18.38 25.07
2010-01-28 54.18 18.42 25.07
2010-01-29 54.15 18.47 25.05
2010-01-30 54.08 18.55 25.04
2010-01-31 54.06 18.57 25.04
2010-02-01 54.02 18.6 25.05
2010-02-02 54.0 18.63 25.05
2010-02-03 53.95 18.67 25.05
2010-02-04 53.95 18.68 25.05
2010-02-05 53.92 18.72 25.04
2010-02-06 53.89 18.75 25.04
2010-02-07 53.81 18.79 25.08
2010-02-08 53.77 18.83 25.08
2010-02-09 53.74 18.9 25.05
2010-02-10 53.72 18.92 25.05
2010-02-11 53.69 18.95 25.05
2010-02-12 53.64 19.0 25.05
2010-02-13 53.61 19.03 25.05
2010-02-14 53.57 19.07 25.07
2010-02-15 53.55 19.09 25.07
2010-02-16 53.51 19.15 25.05
2010-02-17 53.46 19.23 25.02
2010-02-18 53.45 19.24 25.02
2010-02-19 53.4 19.29 25.02
2010-02-20 53.36 19.33 25.02
2010-02-21 53.34 19.34 25.03
2010-02-22 53.3 19.35 25.05
2010-02-23 53.21 19.44 25.05
2010-02-24 53.17 19.47 25.06
2010-02-25 53.17 19.47 25.06
2010-02-26 53.17 19.47 25.06
2010-02-27 53.09 19.56 25.05
2010-02-28 53.08 19.58 25.05
2010-03-01 53.09 19.58 25.05
2010-03-02 53.08 19.59 25.06
2010-03-03 53.07 19.61 25.05
2010-03-04 53.05 19.64 25.04
2010-03-05 53.05 19.65 25.04
2010-03-06 53.04 19.66 25.04
2010-03-07 53.03 19.68 25.03
2010-03-08 53.02 19.7 25.02
2010-03-09 52.93 19.8 25.01
2010-03-10 52.88 19.86 25.0
2010-03-11 52.83 19.95 24.97
2010-03-12 52.67 20.1 24.98
2010-03-13 52.57 20.16 25.03
2010-03-14 52.57 20.17 25.02
2010-03-15 52.57 20.17 25.02
2010-03-16 52.56 20.18 25.02
2010-03-17 52.48 20.27 25.02
2010-03-18 52.44 20.29 25.04
2010-03-19 52.39 20.34 25.04
2010-03-20 52.3 20.45 25.03
2010-03-21 52.24 20.5 25.04
2010-03-22 52.21 20.54 25.03
2010-03-23 52.17 20.57 25.04
2010-03-24 52.16 20.59 25.03
2010-03-25 52.09 20.63 25.06
2010-03-27 52.08 20.65 25.05
2010-03-28 52.08 20.65 25.05
2010-03-29 52.08 20.65 25.05
2010-03-30 52.08 20.65 25.05
2010-03-31 52.08 20.65 25.05
2010-04-01 52.08 20.65 25.05
2010-04-02 52.08 20.65 25.05
2010-04-03 52.08 20.65 25.05
2010-04-04 52.08 20.65 25.05
2010-04-05 51.92 20.84 25.02
2010-04-06 51.9 20.86 25.02
2010-04-07 51.89 20.88 25.01
2010-04-08 51.86 20.93 24.99
2010-04-09 51.75 21.11 24.94
2010-04-10 51.7 21.16 24.94
2010-04-11 51.65 21.2 24.95
2010-04-12 51.62 21.21 24.96
2010-04-13 51.58 21.25 24.96
2010-04-14 51.57 21.27 24.95
2010-04-15 51.55 21.28 24.96
2010-04-16 51.53 21.32 24.94
2010-04-17 51.55 21.31 24.94
2010-04-18 51.59 21.28 24.93
2010-04-19 51.59 21.29 24.91
2010-04-20 51.56 21.33 24.91
2010-04-21 51.5 21.38 24.91
2010-04-22 51.47 21.42 24.9
2010-04-23 51.44 21.44 24.9
2010-04-24 51.43 21.46 24.89
2010-04-27 51.34 21.59 24.86
2010-04-28 51.32 21.62 24.85
2010-04-29 51.31 21.63 24.85
2010-04-30 51.28 21.67 24.84
2010-05-01 51.28 21.7 24.81
2010-05-02 51.25 21.71 24.83
2010-05-03 51.24 21.72 24.83
2010-05-04 51.22 21.76 24.81
2010-05-05 51.19 21.79 24.81
2010-05-06 51.17 21.82 24.8
2010-05-07 51.11 21.88 24.8
2010-05-08 51.05 21.95 24.8
2010-05-09 51.02 22.0 24.78
2010-05-10 51.01 22.01 24.78
2010-05-11 50.99 22.03 24.78
2010-05-12 50.99 22.05 24.76
2010-05-13 50.95 22.09 24.76
2010-05-14 50.88 22.18 24.75
2010-05-15 50.86 22.19 24.76
2010-05-16 50.86 22.2 24.75
2010-05-17 50.86 22.21 24.74
2010-05-18 50.85 22.23 24.73
2010-05-19 50.82 22.25 24.74
2010-05-20 50.82 22.3 24.68
2010-05-21 50.79 22.33 24.68
2010-05-22 50.78 22.35 24.67
2010-05-23 50.77 22.36 24.67
2010-05-24 50.77 22.36 24.67
2010-05-25 50.65 22.48 24.67
2010-05-26 50.6 22.55 24.65
2010-05-27 50.42 22.78 24.61
2010-05-28 50.38 22.81 24.62
2010-05-29 50.35 22.85 24.61
2010-05-30 50.28 22.93 24.61
2010-05-31 50.15 23.06 24.61
2010-06-01 50.04 23.1 24.69
2010-06-02 49.97 23.17 24.68
2010-06-03 49.93 23.2 24.69
2010-06-04 49.88 23.25 24.69
2010-06-05 49.84 23.29 24.7
2010-06-06 49.8 23.32 24.71
2010-06-07 49.77 23.35 24.71
2010-06-08 49.76 23.37 24.7
2010-06-09 49.69 23.46 24.68
2010-06-10 49.64 23.51 24.68
2010-06-11 49.63 23.52 24.68
2010-06-12 49.62 23.53 24.68
2010-06-13 49.6 23.55 24.68
2010-06-14 49.5 23.66 24.68
2010-06-15 49.45 23.72 24.68
2010-06-16 49.4 23.77 24.68
2010-06-17 49.39 23.79 24.67
2010-06-18 49.38 23.8 24.67
2010-06-19 49.35 23.85 24.65
2010-06-20 49.34 23.86 24.65
2010-06-21 49.34 23.87 24.65
2010-06-22 49.27 23.94 24.65
2010-06-23 49.26 23.97 24.63
2010-06-24 49.26 23.98 24.62
2010-06-25 49.26 23.99 24.62
2010-06-26 49.22 24.03 24.62
2010-06-27 49.2 24.07 24.6
2010-06-28 49.17 24.12 24.58
2010-06-29 49.05 24.26 24.56
2010-06-30 49.04 24.27 24.56
2010-07-01 49.01 24.31 24.55
2010-07-02 48.95 24.36 24.56
2010-07-03 48.94 24.37 24.56
2010-07-04 48.9 24.42 24.55
2010-07-05 48.9 24.42 24.55
2010-07-06 48.88 24.45 24.54
2010-07-07 48.87 24.46 24.54
2010-07-08 48.84 24.52 24.52
2010-07-09 48.82 24.54 24.52
2010-07-10 48.75 24.61 24.52
2010-07-11 48.73 24.63 24.52
2010-07-12 48.71 24.65 24.52
2010-07-13 48.61 24.75 24.52
2010-07-14 48.54 24.82 24.52
2010-07-15 48.49 24.88 24.51
2010-07-16 48.49 24.89 24.5
2010-07-17 48.45 24.98 24.46
2010-07-18 48.44 24.98 24.46
2010-07-19 48.41 25.03 24.45
2010-07-20 48.36 25.06 24.46
2010-07-21 48.34 25.08 24.46
2010-07-22 48.33 25.09 24.46
2010-07-23 48.31 25.11 24.46
2010-07-24 48.31 25.11 24.46
2010-07-25 48.25 25.2 24.43
2010-07-26 48.24 25.2 24.44
2010-07-27 48.22 25.22 24.44
2010-07-28 48.18 25.25 24.45
2010-07-29 48.11 25.32 24.45
2010-07-30 48.09 25.33 24.46
2010-07-31 48.06 25.35 24.47
2010-08-01 48.04 25.38 24.46
2010-08-02 48.03 25.38 24.47
2010-08-03 47.98 25.41 24.5
2010-08-04 47.97 25.42 24.5
2010-08-05 47.91 25.46 24.52
2010-08-06 47.91 25.47 24.51
2010-08-07 47.83 25.55 24.51
2010-08-08 47.82 25.57 24.5
2010-08-09 47.83 25.58 24.48
2010-08-10 47.77 25.64 24.48
2010-08-11 47.77 25.64 24.48
2010-08-12 47.76 25.67 24.47
2010-08-13 47.74 25.67 24.49
2010-08-14 47.74 25.68 24.48
2010-08-15 47.74 25.68 24.48
2010-08-16 47.74 25.68 24.48
2010-08-17 47.76 25.68 24.48
2010-08-18 47.75 25.69 24.48
2010-08-19 47.72 25.7 24.49
2010-08-20 47.7 25.72 24.49
2010-08-21 47.67 25.75 24.49
2010-08-22 47.67 25.75 24.49
2010-08-23 47.66 25.76 24.49
2010-08-24 47.66 25.76 24.49
2010-08-25 47.65 25.77 24.49
2010-08-26 47.65 25.77 24.49
2010-08-27 47.63 25.78 24.5
2010-08-28 47.62 25.81 24.5
2010-08-29 47.62 25.82 24.49
2010-08-30 47.59 25.83 24.5
2010-08-31 47.58 25.84 24.5
2010-09-01 47.59 25.85 24.49
2010-09-02 47.57 25.87 24.49
2010-09-03 47.55 25.88 24.51
2010-09-04 47.54 25.89 24.51
2010-09-05 47.53 25.9 24.52
2010-09-06 47.52 25.9 24.54
2010-09-07 47.5 25.92 24.54
2010-09-08 47.5 25.92 24.54
2010-09-09 47.48 25.94 24.53
2010-09-10 47.46 25.96 24.54
2010-09-11 47.43 25.99 24.56
2010-09-12 47.4 26.01 24.57
2010-09-13 47.4 26.01 24.57
2010-09-14 47.37 26.04 24.58
2010-09-15 47.34 26.07 24.59
2010-09-16 47.33 26.08 24.59
2010-09-17 47.33 26.09 24.58
2010-09-18 47.29 26.1 24.6
2010-09-19 47.3 26.1 24.59
2010-09-20 47.3 26.1 24.59
2010-09-21 47.27 26.12 24.6
2010-09-22 47.26 26.14 24.59
2010-09-23 47.26 26.14 24.6
2010-09-24 47.27 26.14 24.59
2010-09-25 47.26 26.15 24.59
2010-09-26 47.25 26.16 24.59
2010-09-27 47.25 26.16 24.59
2010-09-28 47.25 26.16 24.59
2010-09-29 47.25 26.16 24.59
2010-09-30 47.24 26.15 24.61
2010-10-01 47.25 26.14 24.61
2010-10-02 47.24 26.15 24.61
2010-10-03 47.23 26.15 24.62
2010-10-04 47.23 26.15 24.62
2010-10-05 47.23 26.15 24.62
2010-10-06 47.22 26.16 24.62
2010-10-07 47.21 26.17 24.62
2010-10-08 47.21 26.17 24.62
2010-10-09 47.21 26.17 24.62
2010-10-10 47.21 26.17 24.62
2010-10-11 47.19 26.19 24.62
2010-10-12 47.13 26.3 24.57
2010-10-13 47.12 26.3 24.58
2010-10-14 47.09 26.31 24.6
2010-10-15 47.1 26.31 24.59
2010-10-16 47.1 26.31 24.59
2010-10-17 47.09 26.32 24.59
2010-10-18 47.09 26.32 24.59
2010-10-19 47.08 26.33 24.59
2010-10-20 47.05 26.36 24.59
2010-10-21 47.04 26.37 24.59
2010-10-22 47.03 26.38 24.59
2010-10-23 47.02 26.39 24.59
2010-10-24 47.01 26.4 24.59
2010-10-25 47.01 26.4 24.59
2010-10-26 47.0 26.41 24.59
2010-10-27 46.99 26.42 24.59
2010-10-28 46.99 26.42 24.59
2010-10-29 46.99 26.42 24.59
2010-10-30 47.0 26.43 24.58
2010-10-31 47.0 26.43 24.58
2010-11-01 46.97 26.48 24.56
2010-11-02 46.96 26.48 24.57
2010-11-03 46.94 26.5 24.57
2010-11-04 46.93 26.51 24.57
2010-11-05 46.85 26.65 24.52
2010-11-06 46.82 26.69 24.51
2010-11-07 46.82 26.71 24.49
2010-11-08 46.83 26.71 24.48
2010-11-09 46.82 26.72 24.48
2010-11-10 46.74 26.81 24.48
2010-11-11 46.7 26.86 24.47
2010-11-12 46.68 26.89 24.46
2010-11-13 46.62 26.93 24.49
2010-11-14 46.59 26.96 24.49
2010-11-15 46.59 26.96 24.49
2010-11-16 46.57 26.97 24.5
2010-11-17 46.54 27.0 24.5
2010-11-18 46.54 27.0 24.5
2010-11-19 46.54 27.01 24.49
2010-11-20 46.52 27.04 24.48
2010-11-21 46.5 27.06 24.48
2010-11-22 46.5 27.06 24.48
2010-11-23 46.49 27.07 24.48
2010-11-24 46.49 27.07 24.48
2010-11-25 46.48 27.08 24.48
2010-11-26 46.48 27.08 24.48
2010-11-27 46.47 27.1 24.47
2010-11-28 46.44 27.13 24.47
2010-11-29 46.44 27.13 24.47
2010-11-30 46.44 27.13 24.47
2010-12-01 46.42 27.15 24.47
2010-12-02 46.43 27.14 24.47
2010-12-03 46.43 27.14 24.47
2010-12-04 46.43 27.14 24.47
2010-12-05 46.43 27.14 24.47
2010-12-06 46.42 27.16 24.46
2010-12-07 46.42 27.16 24.46
2010-12-08 46.42 27.16 24.46
2010-12-09 46.43 27.17 24.44
2010-12-10 46.43 27.17 24.44
2010-12-11 46.43 27.17 24.44
2010-12-12 46.43 27.17 24.44
2010-12-13 46.44 27.17 24.43
2010-12-14 46.43 27.18 24.43
2010-12-15 46.43 27.18 24.43
2010-12-16 46.44 27.18 24.42
2010-12-17 46.44 27.18 24.42
2010-12-18 46.44 27.18 24.42
2010-12-19 46.43 27.19 24.42
2010-12-20 46.43 27.19 24.42
2010-12-21 46.43 27.19 24.42
2010-12-22 46.43 27.19 24.42
2010-12-23 46.42 27.2 24.42
2010-12-24 46.42 27.21 24.41
2010-12-25 46.42 27.21 24.41
2010-12-26 46.42 27.21 24.41
2010-12-27 46.41 27.22 24.41
2010-12-28 46.41 27.22 24.41
2010-12-29 46.4 27.23 24.41
2010-12-30 46.39 27.24 24.41
2010-12-31 46.38 27.25 24.41
2011-01-01 46.35 27.29 24.4
2011-01-02 46.33 27.32 24.39
2011-01-03 46.28 27.37 24.39
2011-01-04 46.27 27.38 24.39
2011-01-05 46.27 27.38 24.39
2011-01-06 46.22 27.44 24.38
2011-01-07 46.22 27.45 24.37
2011-01-08 46.2 27.45 24.39
2011-01-09 46.2 27.45 24.39
2011-01-10 46.22 27.47 24.36
2011-01-11 46.17 27.52 24.36
2011-01-12 46.16 27.53 24.36
2011-01-13 46.16 27.53 24.36
2011-01-14 46.16 27.53 24.36
2011-01-15 46.14 27.55 24.36
2011-01-16 46.13 27.56 24.36
2011-01-17 46.12 27.57 24.36
2011-01-18 46.11 27.58 24.36
2011-01-19 46.11 27.58 24.36
2011-01-20 46.1 27.59 24.36
2011-01-21 46.09 27.61 24.35
2011-01-22 46.09 27.61 24.35
2011-01-23 46.09 27.61 24.35
2011-01-24 46.08 27.62 24.35
2011-01-25 46.07 27.63 24.35
2011-01-26 46.04 27.66 24.35
2011-01-27 46.04 27.67 24.34
2011-01-28 46.0 27.72 24.33
2011-01-29 45.99 27.73 24.33
2011-01-30 46.0 27.72 24.33
2011-01-31 46.0 27.73 24.32
2011-02-01 45.99 27.73 24.33
2011-02-02 45.99 27.73 24.33
2011-02-03 45.99 27.73 24.33
2011-02-04 45.98 27.74 24.33
2011-02-05 45.99 27.74 24.32
2011-02-06 45.98 27.75 24.32
2011-02-07 45.94 27.8 24.32
2011-02-08 45.92 27.86 24.28
2011-02-09 45.81 27.95 24.29
2011-02-10 45.73 28.05 24.27
2011-02-11 45.31 28.46 24.28
2011-02-12 45.21 28.61 24.24
2011-02-13 45.15 28.68 24.23
2011-02-14 45.09 28.76 24.21
2011-02-15 44.96 28.92 24.18
2011-02-16 44.71 29.28 24.08
2011-02-17 44.65 29.33 24.09
2011-02-18 44.62 29.37 24.08
2011-02-19 44.6 29.43 24.04
2011-02-20 44.52 29.55 24.01
2011-02-21 44.41 29.63 24.04
2011-02-22 44.29 29.75 24.06
2011-02-23 44.25 29.8 24.05
2011-02-24 44.16 29.95 24.0
2011-02-25 44.08 30.03 23.99
2011-02-26 44.05 30.05 24.0
2011-02-27 44.02 30.09 23.99
2011-02-28 44.0 30.13 23.97
2011-03-01 44.0 30.13 23.97
2011-03-02 43.94 30.22 23.94
2011-03-03 43.94 30.22 23.94
2011-03-04 43.92 30.24 23.94
2011-03-05 43.91 30.26 23.93
2011-03-06 43.88 30.3 23.92
2011-03-07 43.78 30.42 23.9
2011-03-08 43.75 30.45 23.9
2011-03-09 43.73 30.51 23.86
2011-03-10 43.72 30.53 23.85
2011-03-11 43.67 30.61 23.82
2011-03-12 43.43 30.75 23.93
2011-03-13 43.39 30.84 23.89
2011-03-14 43.37 30.86 23.89
2011-03-15 43.36 30.9 23.86
2011-03-16 43.34 30.92 23.85
2011-03-17 43.31 30.96 23.84
2011-03-18 43.24 31.07 23.81
2011-03-19 43.24 31.07 23.81
2011-03-20 43.24 31.07 23.81
2011-03-21 43.24 31.07 23.81
2011-03-22 43.24 31.07 23.81
2011-03-23 43.24 31.07 23.81
2011-03-24 43.24 31.07 23.81
2011-03-25 43.24 31.07 23.81
2011-03-26 43.01 31.38 23.73
2011-03-27 42.98 31.41 23.73
2011-03-28 42.99 31.4 23.73
2011-03-29 42.96 31.43 23.73
2011-03-30 42.89 31.49 23.75
2011-03-31 42.83 31.54 23.76
2011-04-01 42.77 31.63 23.74
2011-04-02 42.7 31.75 23.69
2011-04-03 42.64 31.8 23.67
2011-04-04 42.56 31.9 23.65
2011-04-05 42.55 31.93 23.63
2011-04-06 42.55 31.94 23.62
2011-04-07 42.54 31.96 23.61
2011-04-08 42.53 31.98 23.6
2011-04-09 42.5 32.02 23.59
2011-04-10 42.45 32.1 23.56
2011-04-11 42.3 32.26 23.56
2011-04-12 42.23 32.35 23.54
2011-04-13 42.19 32.55 23.38
2011-04-14 42.17 32.58 23.37
2011-04-15 42.17 32.6 23.35
2011-04-16 42.06 32.75 23.31
2011-04-17 42.02 32.81 23.3
2011-04-18 41.99 32.85 23.29
2011-04-19 41.93 32.92 23.28
2011-04-20 41.82 33.1 23.21
2011-04-21 41.74 33.3 23.1
2011-04-22 41.73 33.37 23.04
2011-04-23 41.72 33.39 23.03
2011-04-24 41.69 33.45 23.0
2011-04-25 41.64 33.49 23.02
2011-04-26 41.6 33.54 23.01
2011-04-27 41.59 33.56 23.0
2011-04-28 41.54 33.66 22.95
2011-04-29 41.52 33.68 22.95
2011-04-30 41.47 33.76 22.92
2011-05-01 41.45 33.78 22.92
2011-05-02 41.43 33.83 22.89
2011-05-03 41.44 33.84 22.87
2011-05-04 41.41 33.89 22.85
2011-05-05 41.38 33.93 22.83
2011-05-06 41.36 33.96 22.82
2011-05-07 41.34 33.98 22.82
2011-05-08 41.33 34.03 22.78
2011-05-09 41.33 34.03 22.78
2011-05-10 41.33 34.03 22.78
2011-05-11 41.29 34.04 22.81
2011-05-12 41.29 34.04 22.81
2011-05-13 41.29 34.04 22.81
2011-05-14 41.25 34.09 22.8
2011-05-21 41.08 34.28 22.78
2011-05-22 40.89 34.45 22.85
2011-05-23 40.89 34.46 22.84
2011-05-24 40.9 34.46 22.83
2011-05-25 40.87 34.51 22.81
2011-05-26 40.83 34.54 22.83
2011-05-27 40.83 34.55 22.82
2011-05-28 40.91 34.6 22.69
2011-05-29 40.88 34.64 22.68
2011-05-30 40.82 34.69 22.69
2011-05-31 40.79 34.74 22.67
2011-06-01 40.69 34.81 22.7
2011-06-02 40.66 34.81 22.73
2011-06-03 40.62 34.87 22.71
2011-06-04 40.61 34.87 22.72
2011-06-05 40.54 34.92 22.74
2011-06-06 40.51 34.97 22.73
2011-06-07 40.51 34.98 22.72
2011-06-08 40.45 34.97 22.78
2011-06-09 40.43 34.98 22.79
2011-06-10 40.4 35.02 22.77
2011-06-11 40.37 35.07 22.75
2011-06-12 40.37 35.1 22.72
2011-06-13 40.28 35.18 22.74
2011-06-14 40.26 35.2 22.74
2011-06-15 40.24 35.23 22.73
2011-06-16 40.17 35.31 22.72
2011-06-17 40.15 35.32 22.73
2011-06-18 40.14 35.34 22.72
2011-06-19 40.11 35.36 22.74
2011-06-20 40.1 35.38 22.73
2011-06-21 40.09 35.4 22.72
2011-06-22 40.09 35.4 22.72
2011-06-23 40.09 35.4 22.72
2011-06-24 40.1 35.4 22.71
2011-06-25 40.07 35.43 22.71
2011-06-26 40.07 35.43 22.71
2011-06-27 40.05 35.47 22.69
2011-06-28 40.04 35.48 22.69
2011-06-29 39.94 35.57 22.7
2011-06-30 39.89 35.65 22.67
2011-07-01 39.82 35.73 22.66
2011-07-02 39.78 35.77 22.66
2011-07-04 39.75 35.82 22.64
2011-07-05 39.72 35.87 22.63
2011-07-06 39.7 35.89 22.63
2011-07-07 39.69 35.89 22.64
2011-07-08 39.67 35.92 22.63
